budget,trial,model,k,accuracy,DP_gap,EO_gap,EqOdds_gap
4000,9,LR,4,0.8985,0.007270655334944899,0.011997538966365875,0.011997538966365875
6000,0,LR,4,0.9095,0.0027864030919489916,0.011111111111111112,0.011111111111111112
6000,1,LR,4,0.9056,0.0029710017115167978,0.011018926626912107,0.011018926626912107
6000,2,LR,4,0.9171,0.005099685654010155,0.011976047904191617,0.011976047904191617
6000,3,LR,4,0.9093,0.004276562971318827,0.02857142857142857,0.02857142857142857
6000,4,LR,4,0.9116,0.007581772136170865,0.010951417004048582,0.010951417004048582
6000,5,LR,4,0.9062,0.0026881720430107538,0.01377027474346243,0.01377027474346243
6000,6,LR,4,0.9052,0.005628992628992628,0.009145994769075816,0.009145994769075816
6000,7,LR,4,0.9153,0.003983863138792716,0.011695906432748537,0.011695906432748537
6000,8,LR,4,0.9083,0.00750283349558144,0.017486522911051215,0.017486522911051215
6000,9,LR,4,0.9093,0.0025579415955140922,0.012784436338370678,0.012784436338370678
8000,0,LR,4,0.9164,0.0031770777683881976,0.01485148514851485,0.01485148514851485
8000,1,LR,4,0.9114,0.0021460837009617505,0.00671215604835719,0.00671215604835719
8000,2,LR,4,0.9176,0.0019043089232102166,0.010471204188481676,0.010471204188481676
8000,3,LR,4,0.9148,0.003299121896844625,0.006134969325153374,0.006134969325153374
8000,4,LR,4,0.9175,0.0026281039854215826,0.010101010101010102,0.010101010101010102
8000,5,LR,4,0.9114,0.0025599015960249332,0.009433962264150943,0.009433962264150943
8000,6,LR,4,0.9129,0.0026092877917151935,0.010256410256410256,0.010256410256410256
8000,7,LR,4,0.9158,0.003752619175016032,0.007692307692307693,0.007692307692307693
8000,8,LR,4,0.912,0.004003129106891794,0.005050505050505051,0.005050505050505051
8000,9,LR,4,0.9172,0.00209394147781272,0.004615468647585755,0.004615468647585755
10000,0,LR,4,0.9134,0.0017722640673460345,0.00390625,0.00390625
10000,1,LR,4,0.9175,0.0015067805123053742,0.0,0.0016556291390728477
10000,2,LR,4,0.9153,0.0011797090051120724,0.0,0.001286449399656947
10000,3,LR,4,0.9173,0.001998001998001998,0.0,0.0021990104452996153
10000,4,LR,4,0.9174,0.002236950948415476,0.006578947368421052,0.006578947368421052
10000,5,LR,4,0.9174,0.0010547239534969242,0.012578616352201259,0.012578616352201259
10000,6,LR,4,0.9167,0.0014782540453904733,0.011049723756906077,0.011049723756906077
10000,7,LR,4,0.9181,0.0025627883136852894,0.005,0.005
10000,8,LR,4,0.9193,0.002066115702479339,0.0,0.002442002442002442
10000,9,LR,4,0.9175,0.0014378598830584019,0.008264462809917356,0.008264462809917356
500,0,MLP,4,0.8909,0.010905995996696234,0.044236273744470464,0.044236273744470464
500,1,MLP,4,0.7714,0.01366199845618235,0.040183305559763655,0.040183305559763655
500,2,MLP,4,0.8456,0.01916171114039339,0.03588522122104128,0.03588522122104128
500,3,MLP,4,0.8585,0.007305373268945911,0.03660525810784879,0.03660525810784879
500,4,MLP,4,0.8367,0.01506443355840946,0.05427098674521355,0.05427098674521355
500,5,MLP,4,0.8717,0.007147810464534249,0.046932646932646926,0.046932646932646926
500,6,MLP,4,0.8198,0.013411474411767557,0.0420059582919563,0.0420059582919563
500,7,MLP,4,0.7683,0.01689200763298629,0.058636498077491855,0.058636498077491855
500,8,MLP,4,0.9011,0.004656012225016715,0.01220238095238095,0.01220238095238095
500,9,MLP,4,0.866,0.013168581041884217,0.04260395364689844,0.04260395364689844
1000,0,MLP,4,0.9034,0.009742757404462708,0.01545428699078023,0.01545428699078023
1000,1,MLP,4,0.8422,0.01303927553927553,0.04770590406705319,0.04770590406705319
1000,2,MLP,4,0.8981,0.008900303318794697,0.04061302681992337,0.04061302681992337
1000,3,MLP,4,0.8903,0.005171231022293971,0.018772196854388634,0.018772196854388634
